gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,0,0,0.5475777369738324,1,1,0.9931813869183589,0.9321989894764948,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,0,1,-0.9601500007016792,1,0,-1.4814112419860093,-0.9307174987502007,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,-0.3489090259683637,1,1,-1.5046624478951778,-0.7944987211275284,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,1,0,0,-1.0008993990172337,1,1,1.167565431237123,-0.6123316511981926,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0,0,1,1,-0.9194006023861249,1,0,0.6958981113654179,-0.6342839917119931,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,1,1,1.5663126948626918,1,1,0.19433638389621016,1.1741142214248734,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,1,-1.1231475939638966,0,1,-1.1459295567251486,-0.9381448171622774,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,0.34383074539606057,1,1,0.6228228927937453,0.4270534401959676,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,1,1,1.0365705167604848,1,0,0.2192483902274622,0.8475099801269581,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,-1.2046463905950056,1,1,0.16444197629870802,-0.9147421718697873,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,0,1,1,1.4033151016004741,1,1,-1.5146272504276788,-0.4472386238907015,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0,0,0,0,-0.7971524074394618,0,1,-1.1343039537705644,-0.8384253764699582,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,-1.2861451872261143,1,1,-1.488054443674343,-1.002749302758447,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,0,1,1,1.5663126948626918,1,0,1.1692262316592064,2.1566297860425414,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,0,0,0,-1.0008993990172337,1,1,-0.34044135201466647,-0.819109953735593,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1,0,0,0,-0.1859114327061462,1,1,0.8719429561062655,0.0799032145332838,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
0,0,1,0,1.5663126948626918,1,0,-1.36681601286225,-0.2767618894501964,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1.4033151016004741,1,1,1.7720967848755051,2.4181900554477145,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
1,0,1,1,1.2403175083382567,1,1,0.8104933404891773,1.4484635420603087,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,-1.1231475939638966,1,1,0.5181924662024865,-0.8289983954084762,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0.1808331521338431,1,1,0.461725251851649,0.29670180463253915,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0.832823525182713,1,1,1.5545319295825708,1.5416785855633537,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
0,0,0,1,-0.8379018057550162,1,1,-0.6792446381196942,-0.8004098118164297,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,1.5255632965471373,1,0,-1.5046624478951778,-0.4220560590970925,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1,0,0,0,-1.2046463905950056,1,1,0.3122532138641368,-0.9107428465709766,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,-0.7564030091239073,1,1,0.5862852835079091,-0.4908356645107018,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1.158818711707148,0,0,-0.7074782452951129,0.17346984707358687,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,-1.163896992279451,1,1,0.7789381324695913,-0.8487313301245851,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0,-1.2861451872261143,1,0,0.8503525506191802,-0.9718094674797372,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,-0.9194006023861249,0,1,-1.1741631639005676,-0.8835606191279624,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,1,-0.38965842428391806,1,1,-0.32217254737174844,-0.4472386238907015,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,1,-0.2266608310217006,1,0,-1.4747680402976753,-0.7559118242884556,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,1,1,0,1.607062093178246,1,0,0.44677804805289767,1.4856440827503494,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,0,1,1,1.3625657032849199,0,0,-0.47994858746967795,0.46704669318407266,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1,0,1,1,0.09933435550273437,1,1,1.4930823139654827,0.6506860422069266,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,-1.2861451872261143,1,1,-0.6543326317884421,-0.9917181967144751,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,0,0,-0.8379018057550162,1,1,0.2757156045783002,-0.6477102980722855,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,-0.26741022933725495,0,1,-0.6759230372755272,-0.5033390496481919,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0,0,0,0,-0.5934054158616899,0,1,-0.9898143170493026,-0.7447268980406833,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,-1.2046463905950056,0,0,-1.1691807626343174,-0.9701394195527613,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,0,1.4033151016004741,1,0,-1.476428840719759,-0.42122103513360454,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,1,-0.8379018057550162,1,0,-1.4847328428301763,-0.9129622523686682,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
0,1,1,0,-0.022913839443928746,1,1,0.6958981113654179,0.1436067532214797,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
1,1,0,0,-0.9601500007016792,1,1,0.6660037037679153,-0.6835504055577797,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
1,1,1,1,0.7920741268671586,1,1,0.5264964683129039,0.7812793952334699,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,-0.6341548141772443,1,0,-1.4930368449405937,-0.8631245063373373,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1.5255632965471373,0,1,-0.6559934322105255,0.4230541148971569,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,-0.7564030091239073,1,1,0.6975589117875013,-0.5000429024238975,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,1,1,-0.5934054158616899,1,1,-0.11623329503339824,-0.5337075527413573,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0.5475777369738324,0,1,-0.14114530136465026,0.25998272455389987,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1,1,1,0,-0.7971524074394618,1,1,1.0961510130875338,-0.4676088137368408,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
1,0,0,0,-0.5526560175461356,1,1,0.455082050163315,-0.3545509639435437,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,0,0,0,-1.2046463905950056,1,0,0.2026403860066275,-0.9178625245754526,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,1,1,1.1995681100227022,1,0,-1.473107239875592,-0.4761348478903489,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0,0.22158255044939748,1,0,-1.488054443674343,-0.6882089603014491,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.041648797332788,1,0,-1.519609651693929,-0.9622726148441121,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0,0.5475777369738324,1,0,-0.3105469444171641,0.17008580258997785,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,-0.8379018057550162,1,1,0.44179564678664707,-0.6120240107905917,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,-0.9194006023861249,1,0,-1.5079840487393448,-0.9283662470635374,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1,0,0,0,-0.9601500007016792,1,1,0.2923236087991349,-0.7020967272731428,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,-0.3489090259683637,1,1,-0.46001898240467626,-0.45097425741156844,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1,0,-1.163896992279451,1,1,0.8852293594829335,-0.8510386331815912,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0.5475777369738324,1,0,0.6394308970145799,0.679340548743459,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,1.4033151016004741,1,1,0.9118021662362689,1.6871924983585362,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,0,1,1,-0.7564030091239073,1,0,0.5132100649362364,-0.5119090324313572,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0,0,1,1,0.4660789403427237,1,0,-1.5079840487393448,-0.668717743048455,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,-0.9601500007016792,1,0,-1.526252853382263,-0.9423419112945455,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,-1.2861451872261143,1,1,0.5630340775987405,-0.9756110239450901,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
0,0,1,0,0.9958211184449305,1,1,1.4748135093225647,1.7363490406301796,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
